251,1279,39
252,1220,38
253,1165,36
254,1112,34
255,1060,33
256,1012,31
257,966,30
258,922,28
259,879,27
260,840,26
261,990,30
262,1184,37
263,1363,42
264,1531,47
265,1691,52
266,1844,57
267,1985,62
268,2123,66
269,2250,70
270,2377,74
271,2494,77
272,2604,81
273,2711,84
274,2814,87
275,2907,90
276,2999,93
277,3087,96
278,3170,99
279,3249,101
280,3325,103
281,3395,106
282,3463,108
283,3525,110
284,3591,112
285,3651,114
286,3705,115
287,3760,117
288,3810,119
289,3860,120
290,3907,122
291,3953,123
292,3995,124
293,4034,126
294,3959,123
295,3766,117
296,3587,112
297,3416,106
298,3253,101
299,3100,96
300,2956,92
301,2816,88
302,2688,84
303,2560,80
304,2443,76
305,2327,72
306,2221,69
307,2117,66
308,2018,63
309,1926,60
310,1836,57
311,1751,54
312,1671,52
313,1594,49
314,1521,47
315,1450,45
316,1385,43
317,1321,41
318,1260,39
319,1201,37
320,1147,35
321,1094,34
322,1044,32
323,995,31
324,951,29
325,906,28
326,867,27
327,862,26
328,1061,33
329,1245,38
330,1423,44
331,1587,49
332,1745,54
333,1892,59
334,2035,63
335,2168,67
336,2297,71
337,2415,75
338,2532,79
339,2643,82
340,2747,85
341,2845,88
342,2941,91
343,3030,94
344,3118,97
345,3196,99
346,3276,102
347,3347,104
348,3420,106
349,3487,108
350,3551,110
351,3611,112
352,3669,114
353,3725,116
354,3779,118
355,3827,119
356,3876,121
357,3922,122
358,3965,123
359,4008,125
360,4049,126
361,3893,121
362,3705,115
363,3527,110
364,3359,104
365,3202,100
366,3051,95
367,2906,90
368,2772,86
369,2643,82
370,2520,78
371,2402,75
372,2290,71
373,2184,68
374,2085,65
375,1987,62
376,1894,59
377,1806,56
378,1724,53
379,1644,51
380,1569,49
381,1497,46
382,1428,44
383,1361,42
384,1299,40
385,1239,38
386,1183,36
387,1130,35
388,1077,33
389,1028,32
390,981,30
391,936,29
392,894,27
393,853,26
394,930,29
395,1124,35
396,1307,40
397,1479,46
398,1641,51
399,1798,56
400,1940,60
401,2080,65
402,2205,68
403,2336,73
404,2457,76
405,2570,80
406,2678,83
407,2780,86
408,2879,89
409,2970,92
410,3060,95
411,3142,98
412,3223,100
413,3300,103
414,3373,105
415,3442,107
416,3508,109
417,3570,111
418,3631,113
419,3690,115
420,3745,117
421,3795,118
422,3845,120
423,3892,121
424,3937,123
425,3980,124
426,4021,125
427,4022,125
428,3825,119
429,3642,113
430,3468,108
431,3304,103
432,3148,98
433,3001,93
434,2863,89
435,2728,85
436,2601,81
437,2480,77
438,2364,73
439,2254,70
440,2149,67
441,2049,64
442,1954,61
443,1865,58
444,1779,55
445,1696,53
446,1618,50
447,1544,48
448,1474,46
449,1405,43
450,1339,41
451,1278,39
452,1220,38
453,1163,36
454,1109,34
455,1059,33
456,1012,31
457,964,30
458,921,28
459,877,27
460,831,25
461,1000,31
462,1189,37
463,1367,42
464,1536,48
465,1695,52
466,1848,57
467,1991,62
468,2127,66
469,2257,70
470,2379,74
471,2497,78
472,2609,81
473,2715,84
474,2815,87
475,2911,90
476,3002,93
477,3090,96
478,3171,99
479,3252,101
480,3326,103
481,3397,106
482,3463,108
483,3530,110
484,3592,112
485,3652,114
486,3711,115
487,3762,117
488,3813,119
489,3861,120
490,3909,122
491,3952,123
492,3994,124
493,4035,126
494,3954,123
495,3763,117
496,3581,111
497,3411,106
498,3249,101
499,3098,96
